Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-02-04,12.15,BB,1.25,1,-0.26,-0.299,-0.429,-0.501,-0.5,-0.583,-0.549,-0.421,-0.299,-0.518
2021-02-05,13.23,BB,8.88888888888888,1,-0.508,-0.184,-0.253,0.002,-0.923,-0.08,-0.121,-0.219,-0.218,0.028
2021-02-08,13.76,BB,4.00604686318971,1,-0.57,-0.302,-0.938,-0.066,0.043,0.47,-0.01,-0.968,-0.594,-0.454
2021-02-09,13.43,BB,-2.39825581395349,-1,-0.276,-0.097,-0.472,-0.016,-0.969,-0.053,-0.612,0.103,-0.205,-0.252
2021-02-10,13.1,BB,-2.45718540580789,-1,-0.614,-0.572,0.114,-0.538,-0.083,-0.394,-0.895,-0.615,-0.394,0
2021-02-11,12.46,BB,-4.8854961832061,-1,0.032,-0.334,-0.002,-0.429,-0.363,-0.462,0.075,-0.986,-0.207,0.17
2021-02-12,13.04,BB,4.6548956661316,1,-0.655,-0.346,0.011,-1,-0.029,-0.472,-0.082,0.174,-0.301,-0.632
2021-02-16,12.21,BB,-6.36503067484662,-1,-0.556,0.057,0.001,-0.175,-0.1,-0.216,-0.243,0.432,-0.353,-0.298
2021-02-17,11.32,BB,-7.28910728910729,-1,0.033,-0.726,0.169,-0.019,-0.458,-0.433,0.159,-0.521,-0.506,-0.234
2021-02-18,10.94,BB,-3.35689045936396,-1,-0.064,-0.352,-1,-0.086,0.992,-0.624,-0.997,0.041,-0.35,-0.042
2021-02-19,10.9,BB,-0.365630712979881,-1,0.878,0.285,-0.04,-0.421,-0.568,-0.366,-0.436,-0.686,-0.564,0.947
2021-02-22,10.68,BB,-2.01834862385322,-1,-0.489,-0.131,-0.713,0.219,-0.919,-0.942,-0.63,-1,-0.75,-0.353
2021-02-23,10.4,BB,-2.62172284644194,-1,-0.958,-0.265,-0.206,-0.792,-0.772,0.282,-0.807,-0.158,0.508,-0.75
2021-02-24,11.32,BB,8.84615384615384,1,-0.883,-0.554,-0.133,0.473,-0.684,-0.026,0.86,-0.323,-0.297,-0.884
2021-02-25,10.58,BB,-6.53710247349824,-1,-0.53,-0.256,-0.539,-0.006,0.255,-0.564,-1,-0.106,-0.655,-0.004
2021-02-26,10.05,BB,-5.0094517958412,-1,-0.511,-0.589,-0.502,-0.547,-0.247,-0.325,-0.571,-0.982,-0.978,-0.607
2021-03-01,10.91,BB,8.55721393034825,1,-0.431,-0.465,-0.712,-0.273,-0.606,-0.595,0.045,-0.488,-0.255,-0.203
2021-03-02,10.5,BB,-3.75802016498625,-1,-0.432,-0.351,-0.525,-1,-1,-1,-0.758,-0.528,-0.655,-0.787
2021-03-03,10.15,BB,-3.33333333333333,-1,-0.238,-0.284,-0.114,-0.148,-0.482,-0.914,0.777,-0.998,0.445,-0.01
2021-03-04,9.84,BB,-3.05418719211823,-1,-0.261,-0.817,-0.019,-0.435,-0.171,-0.066,-0.274,-0.411,-0.34,-0.998
2021-03-05,9.45,BB,-3.96341463414634,-1,0.209,-0.41,0.096,-0.349,-0.704,-0.532,0.39,0.965,-0.074,-0.414
2021-03-08,9.75,BB,3.17460317460319,1,-0.538,-0.553,0.223,-0.345,-0.187,-0.234,-0.001,-0.202,-0.317,-0.999
2021-03-09,10.45,BB,7.17948717948718,1,-0.512,-0.472,0.027,0.303,-0.638,-0.087,0.041,-0.322,0.306,0.999
2021-03-10,10.34,BB,-1.05263157894736,-1,-0.802,-0.744,-0.208,0.008,0.07,0.216,-0.576,-0.02,-0.349,-0.704
2021-03-11,10.7,BB,3.48162475822049,1,-0.185,0.008,0.177,-0.123,0.111,-0.409,-0.496,-0.881,-0.615,-0.72
2021-03-12,11.85,BB,10.7476635514019,1,-0.25,-0.561,-0.254,-0.518,-0.393,0.302,-0.574,-0.666,-0.438,-0.088
2021-03-15,11.68,BB,-1.43459915611814,-1,0.142,-0.227,-0.266,-0.277,-0.36,0.998,-0.445,-0.375,0.049,0.014
2021-03-16,11.46,BB,-1.88356164383561,-1,-0.44,-0.689,-0.37,0.234,-0.204,-0.469,-0.119,0.006,-0.109,0.321
2021-03-17,11.6,BB,1.22164048865618,1,-0.312,-0.081,-0.391,0.989,-0.2,-0.064,-0.283,-0.434,-0.784,0.02
2021-03-18,10.76,BB,-7.24137931034483,-1,-0.123,-0.856,-0.71,-0.245,-0.38,-0.455,-0.777,-0.484,-0.632,0.027
2021-03-19,10.95,BB,1.76579925650557,1,-0.409,-0.531,-0.577,-0.02,-0.98,-0.355,-0.156,0.045,0.226,0.228
2021-03-22,10.71,BB,-2.1917808219178,-1,-0.414,-0.637,-0.23,-0.46,-0.514,-0.569,-0.328,-0.458,-0.666,0.251
2021-03-23,10.07,BB,-5.97572362278245,-1,-0.028,-0.605,0.174,-0.299,0.136,-0.022,0.01,-0.084,-0.94,-0.555
2021-03-24,9.58,BB,-4.86593843098312,-1,-0.49,-0.029,-0.354,0.082,-0.456,-0.347,-0.766,0.062,-0.103,-0.084
2021-03-25,9.88,BB,3.13152400835073,1,-0.639,-0.554,-0.328,-0.529,-0.556,-0.472,-0.116,-0.503,0.812,0.341
2021-03-26,9.63,BB,-2.53036437246964,-1,0.935,-0.55,-0.214,-0.232,-0.241,0.926,-0.414,-0.488,0.037,-0.007
2021-03-31,8.43,BB,-9.74304068522485,-1,0.473,0.223,-0.928,0.079,-0.184,-0.999,-0.626,-0.426,0.816,-0.763
2021-04-01,8.6,BB,2.01660735468565,1,-0.047,-0.969,-0.33,0.593,-0.666,-0.355,-0.986,-0.561,-0.334,0.494
